,y,x,image,flux_e,flux
297,1040.94368195 pix,960.879726202 pix,0298,575.6207212551374,472526.599165112
298,1041.05792883 pix,960.074500892 pix,0299,582.8980683904218,502990.5807501532
299,1040.92602115 pix,959.985903049 pix,0300,583.0651414173706,505046.3522893886
300,1040.89125471 pix,960.187190731 pix,0301,574.2306309925344,477294.1751137856
301,1040.90522997 pix,960.150183779 pix,0302,571.4626026128118,472451.71413764835
302,1041.89656902 pix,960.97676291 pix,0303,587.4203852528339,517977.7514087398
303,1041.86369996 pix,960.178269532 pix,0304,589.062529015625,524320.0561732228
304,1041.89926656 pix,960.785152768 pix,0305,591.4755459392214,531181.4543483803
305,1041.89099529 pix,959.952782211 pix,0306,593.410898312119,538293.4902125589
306,1041.8754829 pix,959.193129463 pix,0307,595.4481396114511,542135.9012399167
307,1041.91515257 pix,959.974170977 pix,0308,594.4193113949344,543339.4656754774
308,1041.87285994 pix,959.815500935 pix,0309,593.7246231691632,542366.8758923055
309,1041.15491399 pix,959.878388069 pix,0310,592.655907439631,540347.2592974129
310,1041.09906281 pix,958.931934135 pix,0311,592.1241490078054,539999.0789553376
311,1041.04497891 pix,958.097795906 pix,0312,593.6665801765707,542969.4912747787
312,1040.9260563 pix,958.803787587 pix,0313,591.8161013467397,542120.3313716719
313,1041.04919152 pix,958.22733117 pix,0314,592.0078665461375,542492.7602520708
314,1041.06264978 pix,958.01550465 pix,0315,590.7146220534418,539522.6256579795
315,1040.21459947 pix,957.845853691 pix,0316,590.4015689840519,539482.082910871
316,1040.7890845 pix,957.04166786 pix,0317,591.3910406838922,542314.9405667096
317,1040.82294359 pix,956.950697219 pix,0318,590.6557832849506,539878.0735996559
318,1041.0349474 pix,957.219845999 pix,0319,591.1125506597914,542696.8497529603
319,1041.07865517 pix,957.987878121 pix,0320,591.7664511117534,544035.9939852502
320,1041.12950778 pix,957.984636122 pix,0321,591.6632625923351,544398.0354151216
321,1041.19181805 pix,957.967059602 pix,0322,590.1489656733752,542508.466175437
322,1041.19217871 pix,957.793322875 pix,0323,591.6842424649353,543690.3454466028
323,1041.94800901 pix,957.914897853 pix,0324,592.1322330658097,544890.4747680201
324,1041.17323725 pix,957.94278205 pix,0325,591.0558874691707,543563.0014346985
325,1041.06526571 pix,957.876319131 pix,0326,591.8166575582461,544209.6452102417
326,1040.97713062 pix,957.030274596 pix,0327,591.3360501463696,544103.8451572835
327,1041.06028325 pix,957.228385574 pix,0328,590.5332637501584,543178.3986212359
328,1041.15972023 pix,957.18395569 pix,0329,590.5858326269231,544456.9662758348
329,1041.82297476 pix,957.050217394 pix,0330,590.7930854133446,545838.985731737
330,1041.98245137 pix,957.823240984 pix,0331,591.3563689855928,545775.4723820077
331,1040.98211729 pix,957.827927783 pix,0332,590.0544823127057,544299.6376722769
332,1041.7792058 pix,957.139825854 pix,0333,589.0265554980048,543733.0245666471
333,1041.167629 pix,957.837428286 pix,0334,590.0658184097683,546439.6706548353
334,1041.7802863 pix,958.017614613 pix,0335,588.6802920644578,543149.3448871707
335,1041.80202694 pix,958.0249959 pix,0336,589.3021595294756,545412.6509698769
336,1041.80976778 pix,957.963373056 pix,0337,590.4620708714781,547284.692350638
337,1041.20708353 pix,958.020019708 pix,0338,588.4017131048794,542594.1193423471
338,1041.77233742 pix,957.918791433 pix,0339,586.9206225308302,540281.0661219268
339,1041.98221779 pix,957.908636579 pix,0340,585.1690314894403,533503.7357301062
340,1041.14192671 pix,957.81810602 pix,0341,579.7958768843197,521567.2743451898
341,1041.1694562 pix,957.207529243 pix,0342,577.9874570283724,515870.246612299
342,1041.82569208 pix,957.038650095 pix,0343,579.1173850990999,520169.8753861134
343,1041.17780868 pix,957.09015251 pix,0344,562.885564563555,480095.9177266393
344,1040.98951886 pix,957.180548339 pix,0345,556.6863936986925,467338.32826908247
